640,612,901,612,901,664,640,664,10.51.56-014-18252860-2018.
905,654,925,654,925,666,905,666,###
937,659,1025,659,1025,673,937,673,89-06-00.
1195,654,1265,654,1265,664,1195,664,###
1145,659,1189,659,1189,667,1145,667,###
1082,282,1166,282,1166,289,1082,289,###
1042,277,1080,277,1080,289,1042,289,###
950,277,1041,277,1041,287,950,287,МАРАКУЙЯ
853,279,947,279,947,298,853,298,###
719,289,850,289,850,327,719,327,ПАСТЕРЛЕНГЕН
647,316,716,316,716,336,647,336,ЙОГУРТ
562,313,642,313,642,337,562,337,СУСЫНЫ
531,305,550,305,550,319,531,319,###
436,273,527,273,527,314,436,314,###
341,257,431,257,431,280,341,280,МАЙДЫН
245,256,337,256,337,276,245,276,###
405,476,452,476,452,636,405,636,альпийские
403,326,457,326,457,461,403,461,традиции
595,619,698,619,698,634,595,634,Республику
504,624,592,624,592,654,504,654,###
252,308,357,308,357,667,252,667,Alpenland
104,397,140,397,140,570,104,570,Ehrmann
