557,658,806,658,806,714,557,714,Леонид
725,573,1060,573,1060,644,725,644,ПАДУКОВ
1044,495,1212,495,1212,538,1044,538,Союза
745,504,1031,504,1031,549,745,549,Советского
580,506,732,506,732,564,580,564,Герой
798,440,983,440,983,486,798,486,войны.
819,361,1212,361,1212,422,819,422,Отечественной
592,379,807,379,807,434,592,434,Великой
838,323,1075,323,1075,372,838,372,участник
722,334,830,334,830,368,722,368,жил
999,258,1125,258,1125,296,999,296,годы
891,256,989,256,989,301,891,301,2012
821,270,881,270,881,306,821,306,по
717,266,809,266,809,310,717,310,1967
678,278,706,278,706,311,678,311,с
925,201,1048,201,1048,244,925,244,доме
800,207,915,207,915,244,800,244,этом
752,206,788,206,788,248,752,248,В
822,650,1226,650,1226,705,822,705,Степанович
