655,517,812,517,812,548,655,548,CHRIST
588,516,641,516,641,546,588,546,OF
373,515,572,515,572,545,373,545,NATIVITY
278,512,358,512,358,544,278,544,THE
687,479,729,479,729,511,687,511,of
536,479,671,479,671,510,536,510,honour
489,477,520,477,520,508,489,508,in
280,476,472,476,472,508,280,508,cathedral
570,437,804,437,804,469,570,469,ХРИСТОВА
280,436,554,436,554,473,280,473,РОЖДЕСТВА
610,401,734,401,734,439,610,439,собор
280,400,596,400,596,439,280,439,кафедральный
829,457,882,457,882,493,829,493,1,5
818,308,876,308,876,347,818,347,0,8
816,199,873,199,873,233,816,233,0,8
601,344,765,344,765,376,601,376,MUSEUM
465,342,587,342,587,379,465,379,history
366,341,450,341,450,377,366,377,local
284,345,352,345,352,377,284,377,reg.
286,301,416,301,416,342,286,342,МУЗЕЙ
374,267,661,267,661,305,374,305,краеведческий
287,265,360,265,360,298,287,298,обл.
512,219,625,219,625,250,512,250,PARK
291,214,498,214,498,251,291,251,VERKHNIY
494,180,607,180,607,213,494,213,ПАРК
291,177,481,177,481,209,291,209,ВЕРХНИЙ
284,120,438,120,438,147,284,147,ЛЕНИНА
219,126,268,126,268,152,219,152,ул.
285,59,485,59,485,89,285,89,ГАГАРИНА
226,67,271,67,271,93,226,93,ул.
4,1192,122,1192,122,1214,4,1214,РАБОТА
607,733,635,733,635,799,607,799,ПОЛК
