514,227,953,227,953,294,514,294,АЛЕКСАНДР
583,279,904,279,904,331,583,331,БЕСЛИК
331,338,1126,338,1126,489,331,489,ПОДНЯТЬ
406,484,1079,484,1079,606,406,606,ПАРУСА!
1074,861,1140,861,1140,923,1074,923,1987
900,913,1053,913,1053,983,900,983,МОСКВА
672,955,885,955,885,995,672,995,«МАЛЫШ»
342,867,659,867,659,994,342,994,ИЗДАТЕЛЬСТВО
457,793,497,793,497,824,457,824,и
509,764,1038,764,1038,850,509,850,путешественниках
524,715,978,715,978,788,524,788,мореплавателях
566,693,593,693,593,723,566,723,о
600,682,942,682,942,738,600,738,знаменитых
445,621,691,621,691,687,445,687,Рассказы
704,614,745,614,745,677,704,677,###
751,618,1032,618,1032,689,751,689,картинках
