521,143,643,143,643,183,521,183,Объект
647,149,838,149,838,190,647,190,охраняется
562,197,673,197,673,244,562,244,ООО
683,199,784,199,784,245,683,245,ЧОО
514,266,841,266,841,347,514,347,«Стратег»
481,384,592,384,592,411,481,411,Лицензия
595,383,622,383,622,411,595,411,№
625,383,692,383,692,411,625,411,09951
696,389,721,389,721,410,696,410,от
728,386,752,386,752,411,728,411,16
755,391,797,391,797,409,755,409,мая
803,388,856,388,856,409,803,409,2014
861,391,878,391,878,410,861,410,г.
583,544,596,544,596,578,583,578,000
585,482,636,482,636,541,585,541,ЧАСТНАЯ
637,471,717,471,717,490,637,490,ОХРАННАЯ
718,482,774,482,774,579,718,579,ОРГАНИЗАЦИЯ
595,595,757,595,757,660,595,660,СТРАТЕГ
455,723,486,723,486,747,455,747,На
490,721,582,721,582,747,490,747,объекте
586,722,673,722,673,749,586,749,ведется
676,725,746,725,746,749,676,749,видео
750,722,891,722,891,753,750,753,наблюдение
500,760,629,760,629,784,500,784,Установлен
634,762,766,762,766,787,634,787,пропускной
770,765,852,765,852,789,770,789,режим
