788,1071,808,1071,808,1077,788,1077,МГСА
744,927,763,927,763,942,744,942,13
768,926,800,926,800,942,768,942,min
342,931,422,931,422,951,342,951,Ореховый
428,928,481,928,481,949,428,949,бульв.,
484,933,499,933,499,947,484,947,д.
503,930,526,930,526,947,503,947,35,
529,932,574,932,574,947,529,947,корп.
579,929,589,929,589,945,579,945,2
342,910,412,910,412,925,342,925,Pharmacy
418,908,457,908,457,925,418,925,point
460,906,474,906,474,922,460,922,№
478,906,510,906,510,921,478,921,53-3
343,892,393,892,393,906,343,906,Branch
398,890,414,890,414,905,398,905,№
416,891,427,891,427,904,416,904,1
343,877,376,877,376,889,343,889,SBHI
379,874,417,874,417,891,379,891,«City
421,873,492,873,492,890,421,890,polyclinic
495,871,511,871,511,888,495,888,№
514,872,549,872,549,888,514,888,214»
344,851,432,851,432,868,344,868,Аптечный
437,853,488,853,488,871,437,871,пункт
492,850,511,850,511,867,492,867,№
516,850,556,850,556,867,516,867,53-3
346,832,413,832,413,850,346,850,Филиал
417,833,437,833,437,848,417,848,№
440,834,451,834,451,849,440,849,1
345,814,386,814,386,830,345,830,ГБУЗ
389,812,489,812,489,830,389,830,«Городская
494,812,612,812,612,827,494,827,поликлиника
615,809,634,809,634,826,615,826,№
639,808,671,808,671,825,639,825,214
673,808,722,808,722,827,673,827,ДЗМ»
19,1208,33,1208,33,1216,19,1216,###
34,1208,43,1208,43,1215,34,1215,999
45,1207,52,1207,52,1215,45,1215,###
53,1207,60,1207,60,1215,53,1215,###
101,1194,116,1194,116,1206,101,1206,014
14,1195,40,1195,40,1206,14,1206,Яндекс
43,1193,63,1193,63,1205,43,1205,такси
651,1091,665,1091,665,1103,651,1103,58
804,519,809,519,809,530,804,530,###
807,502,818,502,818,523,807,523,###
819,480,827,480,827,503,819,503,###
827,450,839,450,839,487,827,487,###
838,396,863,396,863,459,838,459,###
864,389,869,389,869,410,864,410,д.
870,364,878,364,878,391,870,391,14
879,327,896,327,896,373,879,373,корп.
896,313,902,313,902,334,896,334,3
811,377,833,377,833,440,811,440,school
831,358,841,358,841,387,831,387,N3
840,317,854,317,854,365,840,365,534
806,338,825,338,825,411,806,411,ГБОУ
827,262,859,262,859,359,827,359,Школа
859,222,874,222,874,273,859,273,№
873,157,899,157,899,234,873,234,534
784,356,789,356,789,377,784,377,###
